,block,condition,exp_event,msg_time,element,grid_size,posx,posy,angle,trial,vel,pic_id,lum,shake_x,shake_y
2,1.0,startingET,,2122.5463218757386,,,,,,,,,,,
3,1.0,Instruction,LARGEGRID_start,2125.6626688027986,,,,,,,,,,,
4,1.0,Instruction,LARGEGRID_stop,2156.144524704232,,,,,,,,,,,
5,1.0,GRID,start,2156.145083223628,,,,,,,,,,,
6,1.0,GRID,element,2156.1611229059977,1.0,49.0,0.0,0.0,,,,,,,
9,1.0,GRID,element,2159.169479915508,2.0,49.0,-12.37571727424697,-2.5811462130272744,,,,,,,
12,1.0,GRID,element,2161.102874582018,3.0,49.0,18.20603542423191,7.727833286277566,,,,,,,
15,1.0,GRID,element,2162.3529903341782,4.0,49.0,0.0,-5.17800055892667,,,,,,,
18,1.0,GRID,element,2163.65320330585,5.0,49.0,18.20603542423191,5.17800055892667,,,,,,,
21,1.0,GRID,element,2165.0863432697483,6.0,49.0,6.247859218131054,-5.17800055892667,,,,,,,
24,1.0,GRID,element,2166.3981275326223,7.0,49.0,18.20603542423191,-5.17800055892667,,,,,,,
27,1.0,GRID,element,2167.894794457553,8.0,49.0,12.37571727424697,-5.17800055892667,,,,,,,
30,1.0,GRID,element,2169.4282026095284,9.0,49.0,-18.20603542423191,-7.727833286277566,,,,,,,
33,1.0,GRID,element,2170.9282615428633,10.0,49.0,18.20603542423191,-7.727833286277566,,,,,,,
36,1.0,GRID,element,2172.7033537641587,11.0,49.0,6.247859218131054,5.17800055892667,,,,,,,
39,1.0,GRID,element,2174.2201110953306,12.0,49.0,12.37571727424697,-2.5811462130272744,,,,,,,
42,1.0,GRID,element,2175.4223825775753,13.0,49.0,12.37571727424697,-7.727833286277566,,,,,,,
45,1.0,GRID,element,2176.486847086134,14.0,49.0,0.0,2.5811462130272744,,,,,,,
48,1.0,GRID,element,2177.620118534467,15.0,49.0,6.247859218131054,7.727833286277566,,,,,,,
51,1.0,GRID,element,2178.4785616239847,16.0,49.0,-12.37571727424697,-7.727833286277566,,,,,,,
54,1.0,GRID,element,2179.7702766606326,17.0,49.0,12.37571727424697,2.5811462130272744,,,,,,,
57,1.0,GRID,element,2181.189949193985,18.0,49.0,6.247859218131054,-2.5811462130272744,,,,,,,
60,1.0,GRID,element,2182.562103205653,19.0,49.0,-12.37571727424697,7.727833286277566,,,,,,,
63,1.0,GRID,element,2183.762578016624,20.0,49.0,-6.247859218131054,-2.5811462130272744,,,,,,,
66,1.0,GRID,element,2184.8956116487884,21.0,49.0,12.37571727424697,7.727833286277566,,,,,,,
69,1.0,GRID,element,2186.2468668216425,22.0,49.0,-6.247859218131054,0.0,,,,,,,
72,1.0,GRID,element,2187.6420820126573,23.0,49.0,-6.247859218131054,5.17800055892667,,,,,,,
75,1.0,GRID,element,2188.554032625105,24.0,49.0,-18.20603542423191,-2.5811462130272744,,,,,,,
78,1.0,GRID,element,2189.7292159001477,25.0,49.0,-6.247859218131054,-7.727833286277566,,,,,,,
81,1.0,GRID,element,2190.7207566430134,26.0,49.0,-12.37571727424697,5.17800055892667,,,,,,,
84,1.0,GRID,element,2191.637518795871,27.0,49.0,0.0,-7.727833286277566,,,,,,,
87,1.0,GRID,element,2192.6991306794075,28.0,49.0,-18.20603542423191,5.17800055892667,,,,,,,
90,1.0,GRID,element,2193.6542215384356,29.0,49.0,-18.20603542423191,-5.17800055892667,,,,,,,
93,1.0,GRID,element,2194.5709711072845,30.0,49.0,-12.37571727424697,-5.17800055892667,,,,,,,
96,1.0,GRID,element,2195.531110040891,31.0,49.0,-18.20603542423191,7.727833286277566,,,,,,,
99,1.0,GRID,element,2196.4220022144104,32.0,49.0,12.37571727424697,0.0,,,,,,,
102,1.0,GRID,element,2197.7377345620835,33.0,49.0,6.247859218131054,0.0,,,,,,,
105,1.0,GRID,element,2198.999166891265,34.0,49.0,6.247859218131054,2.5811462130272744,,,,,,,
108,1.0,GRID,element,2200.437904808132,35.0,49.0,-6.247859218131054,-5.17800055892667,,,,,,,
111,1.0,GRID,element,2201.75162699738,36.0,49.0,0.0,5.17800055892667,,,,,,,
114,1.0,GRID,element,2202.9462711682177,37.0,49.0,-6.247859218131054,7.727833286277566,,,,,,,
117,1.0,GRID,element,2203.9963210295587,38.0,49.0,18.20603542423191,-2.5811462130272744,,,,,,,
120,1.0,GRID,element,2205.330674219431,39.0,49.0,0.0,-2.5811462130272744,,,,,,,
123,1.0,GRID,element,2206.4380930784378,40.0,49.0,-12.37571727424697,0.0,,,,,,,
126,1.0,GRID,element,2207.596647123693,41.0,49.0,-6.247859218131054,2.5811462130272744,,,,,,,
129,1.0,GRID,element,2208.6883253725423,42.0,49.0,0.0,7.727833286277566,,,,,,,
132,1.0,GRID,element,2209.930046972752,43.0,49.0,-12.37571727424697,2.5811462130272744,,,,,,,
135,1.0,GRID,element,2211.382744041514,44.0,49.0,12.37571727424697,5.17800055892667,,,,,,,
138,1.0,GRID,element,2212.8886026419596,45.0,49.0,18.20603542423191,2.5811462130272744,,,,,,,
141,1.0,GRID,element,2214.430261247783,46.0,49.0,18.20603542423191,0.0,,,,,,,
144,1.0,GRID,element,2215.1827619622027,47.0,49.0,-18.20603542423191,0.0,,,,,,,
147,1.0,GRID,element,2216.938909307069,48.0,49.0,-18.20603542423191,2.5811462130272744,,,,,,,
150,1.0,GRID,element,2217.866816053827,49.0,49.0,6.247859218131054,-7.727833286277566,,,,,,,
153,1.0,GRID,stop,2219.539045381207,,,,,,,,,,,
155,1.0,Instruction,SMOOTHPURSUIT_start,2222.0315788590697,,,,,,,,,,,
156,1.0,Instruction,SMOOTHPURSUIT_stop,2260.032234176295,,,,,,,,,,,
157,1.0,SMOOTH,start,2260.950151587972,,,,,,,,,,,
158,1.0,SMOOTH,trialstart,2265.0244240770694,,,,,270.0,1.0,16.0,,,,
159,1.0,SMOOTH,trialend,2265.850753131823,,,,,,1.0,,,,,
160,1.0,SMOOTH,trialstart,2268.864899667437,,,,,285.0,2.0,22.0,,,,
161,1.0,SMOOTH,trialend,2269.514567721962,,,,,,2.0,,,,,
162,1.0,SMOOTH,trialstart,2270.564730079382,,,,,90.0,3.0,16.0,,,,
163,1.0,SMOOTH,trialend,2271.3896657031482,,,,,,3.0,,,,,
164,1.0,SMOOTH,trialstart,2273.458778546864,,,,,120.0,4.0,20.0,,,,
165,1.0,SMOOTH,trialend,2274.156487365443,,,,,,4.0,,,,,
166,1.0,SMOOTH,trialstart,2277.923446174698,,,,,330.0,5.0,20.0,,,,
167,1.0,SMOOTH,trialend,2278.623346550831,,,,,,5.0,,,,,
168,1.0,SMOOTH,trialstart,2280.7818563259166,,,,,330.0,6.0,22.0,,,,
169,1.0,SMOOTH,trialend,2281.431801367638,,,,,,6.0,,,,,
170,1.0,SMOOTH,trialstart,2283.4485508012353,,,,,15.0,7.0,18.0,,,,
171,1.0,SMOOTH,trialend,2284.1991443493025,,,,,,7.0,,,,,
172,1.0,SMOOTH,trialstart,2286.3989094256326,,,,,330.0,8.0,24.0,,,,
173,1.0,SMOOTH,trialend,2287.015379536625,,,,,,8.0,,,,,
174,1.0,SMOOTH,trialstart,2292.1265409227335,,,,,45.0,9.0,24.0,,,,
175,1.0,SMOOTH,trialend,2292.7428394216045,,,,,,9.0,,,,,
176,1.0,SMOOTH,trialstart,2297.0575189971173,,,,,165.0,10.0,18.0,,,,
177,1.0,SMOOTH,trialend,2297.807424318697,,,,,,10.0,,,,,
178,1.0,SMOOTH,trialstart,2301.499454476837,,,,,135.0,11.0,20.0,,,,
179,1.0,SMOOTH,trialend,2302.1993781599863,,,,,,11.0,,,,,
180,1.0,SMOOTH,trialstart,2306.9580288022134,,,,,315.0,12.0,18.0,,,,
181,1.0,SMOOTH,trialend,2307.7076268645756,,,,,,12.0,,,,,
182,1.0,SMOOTH,trialstart,2311.5497636181203,,,,,45.0,13.0,22.0,,,,
183,1.0,SMOOTH,trialend,2312.199488359686,,,,,,13.0,,,,,
184,1.0,SMOOTH,trialstart,2315.1750829099724,,,,,60.0,14.0,20.0,,,,
185,1.0,SMOOTH,trialend,2315.874744139936,,,,,,14.0,,,,,
186,1.0,SMOOTH,trialstart,2318.8186831577823,,,,,150.0,15.0,20.0,,,,
187,1.0,SMOOTH,trialend,2319.5188112010765,,,,,,15.0,,,,,
188,1.0,SMOOTH,stop,2320.026283873805,,,,,,,,,,,
189,1.0,Instruction,FREEVIEW_start,2320.049927130565,,,,,,,,,,,
190,1.0,Instruction,FREEVIEW_stop,2334.884363773135,,,,,,,,,,,
191,1.0,FREEVIEW,start,2334.8849848405753,,,,,,,,,,,
193,1.0,FREEVIEW,trial,2347.553116576534,,,,,,1.0,,22.0,,,
195,1.0,FREEVIEW,trial,2356.486874733337,,,,,,2.0,,6.0,,,
197,1.0,FREEVIEW,trial,2365.329094323252,,,,,,3.0,,17.0,,,
198,1.0,FREEVIEW,stop,2365.329791716746,,,,,,,,,,,
199,1.0,Instruction,MICROSACC_start,2365.362706436078,,,,,,,,,,,
200,1.0,Instruction,MICROSACC_stop,2380.2966986732195,,,,,,,,,,,
201,1.0,MICROSACC,start,2380.313157960887,,,,,,,,,,,
202,1.0,MICROSACC,stop,2400.322634410847,,,,,,,,,,,
203,1.0,Instruction,BLINK_start,2400.3559855114886,,,,,,,,,,,
204,1.0,Instruction,BLINK_stop,2447.2082444432804,,,,,,,,,,,
205,1.0,BLINK,start,2447.208729412624,,,,,,,,,,,
206,1.0,BLINK,stop,2458.9219230086637,,,,,,,,,,,
207,1.0,Instruction,DILATION_start,2458.9673466498625,,,,,,,,,,,
208,1.0,Instruction,DILATION_stop,2490.1602877483574,,,,,,,,,,,
209,1.0,DILATION,start,2490.16079911072,,,,,,,,,,,
210,1.0,DILATION,lum,2490.177642136659,,,,,,,,,0.0,,
211,1.0,DILATION,lum,2497.3124566532592,,,,,,,,,64.0,,
212,1.0,DILATION,lum,2500.4374779964683,,,,,,,,,0.0,,
213,1.0,DILATION,lum,2507.38610908809,,,,,,,,,255.0,,
214,1.0,DILATION,lum,2510.470815196721,,,,,,,,,0.0,,
215,1.0,DILATION,lum,2517.3185807308428,,,,,,,,,128.0,,
216,1.0,DILATION,lum,2520.4205908287404,,,,,,,,,0.0,,
217,1.0,DILATION,lum,2527.187587812608,,,,,,,,,192.0,,
218,1.0,DILATION,stop,2530.188932030147,,,,,,,,,,,
219,1.0,Instruction,SMALLGG_before_start,2530.221609317311,,,,,,,,,,,
220,1.0,Instruction,SMALLGG_before_stop,2567.15534870224,,,,,,,,,,,
221,1.0,GRID,start,2567.159247487004,,,,,,,,,,,
222,1.0,SMALLGRID_BEFORE,element,2567.17216342616,1.0,13.0,18.20603542423191,-7.727833286277566,,,,,,,
225,1.0,SMALLGRID_BEFORE,element,2568.755301401386,2.0,13.0,-6.247859218131054,-2.5811462130272744,,,,,,,
228,1.0,SMALLGRID_BEFORE,element,2569.7219251575893,3.0,13.0,-18.20603542423191,0.0,,,,,,,
231,1.0,SMALLGRID_BEFORE,element,2571.0220089241693,4.0,13.0,6.247859218131054,2.5811462130272744,,,,,,,
234,1.0,SMALLGRID_BEFORE,element,2571.9553783427996,5.0,13.0,-18.20603542423191,-7.727833286277566,,,,,,,
237,1.0,SMALLGRID_BEFORE,element,2573.2721892232366,6.0,13.0,6.247859218131054,-2.5811462130272744,,,,,,,
240,1.0,SMALLGRID_BEFORE,element,2574.5721747137472,7.0,13.0,-18.20603542423191,7.727833286277566,,,,,,,
243,1.0,SMALLGRID_BEFORE,element,2575.880487936161,8.0,13.0,0.0,7.727833286277566,,,,,,,
246,1.0,SMALLGRID_BEFORE,element,2576.6973221381836,9.0,13.0,18.20603542423191,7.727833286277566,,,,,,,
249,1.0,SMALLGRID_BEFORE,element,2577.763972739292,10.0,13.0,-6.247859218131054,2.5811462130272744,,,,,,,
252,1.0,SMALLGRID_BEFORE,element,2578.7467250449276,11.0,13.0,18.20603542423191,0.0,,,,,,,
255,1.0,SMALLGRID_BEFORE,element,2579.8058770917205,12.0,13.0,0.0,-7.727833286277566,,,,,,,
258,1.0,SMALLGRID_BEFORE,element,2580.9310106012854,13.0,13.0,0.0,0.0,,,,,,,
261,1.0,GRID,stop,2581.775182230687,,,,,,,,,,,
263,1.0,Instruction,SHAKE_start,2583.7895117855687,,,,,,,,,,,
264,1.0,Instruction,SHAKE_stop,2608.3668019794786,,,,,,,,,,,
265,1.0,SHAKE,start,2608.3678308592084,,,,,,,,,,,
266,1.0,SHAKE,SHAKE_point,2608.382205112398,,,,,,,,,,-16.40442879957575,0.0
267,1.0,SHAKE,SHAKE_point,2611.290575217031,,,,,,,,,,8.373803550907079,0.0
268,1.0,SHAKE,SHAKE_point,2613.3992325817785,,,,,,,,,,-8.373803550907079,0.0
