end_gy,peak_velocity,sd,end_gx,type,start_gy,mean_gx,end_time,start_gx,amplitude,blink_id,rms,duration,mean_gy,start_time,end_point
,,,,blink,,,623737.7676174999,,,1.0,,,,623737.6221385,
,,,,blink,,,623738.245209,,,2.0,,,,623738.102182,
,,,,blink,,,623739.0956745,,,3.0,,,,623738.9660904999,
,,,,blink,,,623741.371407,,,4.0,,,,623741.285,
,,,,blink,,,623741.791186,,,5.0,,,,623741.702664,
,,,,blink,,,623743.7250689999,,,6.0,,,,623743.4023655,
,,,,blink,,,623749.8318319999,,,7.0,,,,623749.6903194999,
,,,,blink,,,623750.1627664999,,,8.0,,,,623750.047674,
,,,,blink,,,623755.8354235,,,9.0,,,,623755.7214945,
,,,,blink,,,623757.116066,,,10.0,,,,623757.0000315,
,,,,blink,,,623757.7030105,,,11.0,,,,623757.5888315,
,,,,blink,,,623761.627105,,,12.0,,,,623761.4571295,
,,,,blink,,,623762.032481,,,13.0,,,,623761.777036,
,,,,blink,,,623762.321247,,,14.0,,,,623762.21877,
,,,,blink,,,623764.640688,,,15.0,,,,623764.4788915,
,,,,blink,,,623767.67083,,,16.0,,,,623767.4768534999,
,,,,blink,,,623767.970681,,,17.0,,,,623767.8573075,
,,,,blink,,,623768.1521715,,,18.0,,,,623768.063006,
,,,,blink,,,623770.582677,,,19.0,,,,623770.4029260001,
,,,,blink,,,623771.0173279999,,,20.0,,,,623770.868988,
,,,,blink,,,623773.9370925,,,21.0,,,,623773.8191505,
,,,,blink,,,623775.4654244999,,,22.0,,,,623775.333997,
,,,,blink,,,623776.046777,,,23.0,,,,623775.9215365,
,,,,blink,,,623776.3901035,,,24.0,,,,623776.2537044999,
,,,,blink,,,623776.741649,,,25.0,,,,623776.6194255,
,,,,blink,,,623778.269266,,,26.0,,,,623778.140998,
,,,,blink,,,623778.5473084999,,,27.0,,,,623778.4146575,
,,,,blink,,,623779.4148494999,,,28.0,,,,623779.2911065,
,,,,blink,,,623780.1983545,,,29.0,,,,623780.072665,
,,,,blink,,,623781.3307745,,,30.0,,,,623781.2031164999,
,,,,blink,,,623781.5334305,,,31.0,,,,623781.4375785,
,,,,blink,,,623782.235071,,,32.0,,,,623781.7709075,
,,,,blink,,,623782.483636,,,33.0,,,,623782.398644,
,,,,blink,,,623785.5873675,,,34.0,,,,623785.4516365,
,,,,blink,,,623786.28311,,,35.0,,,,623786.097936,
,,,,blink,,,623787.2035299999,,,36.0,,,,623786.606487,
,,,,blink,,,623788.4832595,,,37.0,,,,623788.3205555,
,,,,blink,,,623789.316595,,,38.0,,,,623789.161473,
,,,,blink,,,623790.840414,,,39.0,,,,623790.832105,
,,,,blink,,,623791.37755,,,40.0,,,,623791.308299,
,,,,blink,,,623791.527185,,,41.0,,,,623791.509402,
,,,,blink,,,623791.785294,,,42.0,,,,623791.7638995,
,,,,blink,,,623792.2381915001,,,43.0,,,,623792.0200535,
,,,,blink,,,623792.5508864999,,,44.0,,,,623792.3515775,
,,,,blink,,,623793.0435629999,,,45.0,,,,623792.956402,
,,,,blink,,,623793.5064739999,,,46.0,,,,623793.223354,
,,,,blink,,,623795.2396515,,,47.0,,,,623795.06108,
,,,,blink,,,623795.905014,,,48.0,,,,623795.750748,
,,,,blink,,,623796.17332,,,49.0,,,,623796.098245,
,,,,blink,,,623796.9185925,,,50.0,,,,623796.750587,
,,,,blink,,,623797.9348535,,,51.0,,,,623797.8055449999,
,,,,blink,,,623798.322023,,,52.0,,,,623798.1677725001,
,,,,blink,,,623798.665166,,,53.0,,,,623798.527903,
,,,,blink,,,623798.786986,,,54.0,,,,623798.743364,
,,,,blink,,,623799.304305,,,55.0,,,,623799.2080890001,
,,,,blink,,,623799.562238,,,56.0,,,,623799.484606,
,,,,blink,,,623799.9309505001,,,57.0,,,,623799.7705155,
,,,,blink,,,623800.1678555,,,58.0,,,,623800.0416529999,
,,,,blink,,,623800.3982994999,,,59.0,,,,623800.36503,
,,,,blink,,,623801.919172,,,60.0,,,,623801.7426435,
,,,,blink,,,623802.661151,,,61.0,,,,623802.597567,
,,,,blink,,,623802.92694,,,62.0,,,,623802.792563,
,,,,blink,,,623808.505634,,,63.0,,,,623808.3676325,
,,,,blink,,,623808.8581574999,,,64.0,,,,623808.715462,
,,,,blink,,,623809.2234675,,,65.0,,,,623808.952631,
,,,,blink,,,623812.5048785,,,66.0,,,,623812.4003475,
,,,,blink,,,623815.8582355,,,67.0,,,,623815.7754345001,
,,,,blink,,,623818.261417,,,68.0,,,,623818.1271095,
,,,,blink,,,623819.2978025,,,69.0,,,,623819.1651565,
,,,,blink,,,623819.986422,,,70.0,,,,623819.8766835,
,,,,blink,,,623821.468274,,,71.0,,,,623821.3148875,
,,,,blink,,,623824.6636969999,,,72.0,,,,623824.5052819999,
,,,,blink,,,623825.076559,,,73.0,,,,623824.9612815001,
,,,,blink,,,623827.4082749999,,,74.0,,,,623827.385835,
,,,,blink,,,623828.35238,,,75.0,,,,623828.2053,
,,,,blink,,,623828.843677,,,76.0,,,,623828.615611,
,,,,blink,,,623831.6458055,,,77.0,,,,623831.520277,
,,,,blink,,,623831.9035585,,,78.0,,,,623831.7754535,
,,,,blink,,,623833.8928395,,,79.0,,,,623833.7568109999,
