end_gx,type,sd,start_gx,mean_gx,rms,amplitude,mean_gy,end_time,blink_id,duration,start_time,end_gy,start_gy,peak_velocity,end_point
,blink,,,,,,,842892.147773,1.0,,842892.011955,,,,
,blink,,,,,,,842894.0006075,2.0,,842893.8835469999,,,,
,blink,,,,,,,842895.090223,3.0,,842894.821003,,,,
,blink,,,,,,,842896.622677,4.0,,842896.4655525,,,,
,blink,,,,,,,842897.265473,5.0,,842897.230141,,,,
,blink,,,,,,,842897.98746,6.0,,842897.7837944999,,,,
,blink,,,,,,,842898.704182,7.0,,842898.639571,,,,
,blink,,,,,,,842901.682386,8.0,,842901.442027,,,,
,blink,,,,,,,842902.2369840001,9.0,,842902.1040115,,,,
,blink,,,,,,,842903.311718,10.0,,842903.155943,,,,
,blink,,,,,,,842903.957186,11.0,,842903.422915,,,,
,blink,,,,,,,842904.9304129999,12.0,,842904.5959235,,,,
,blink,,,,,,,842905.809879,13.0,,842905.127205,,,,
,blink,,,,,,,842906.961675,14.0,,842906.770781,,,,
,blink,,,,,,,842907.796479,15.0,,842907.634381,,,,
,blink,,,,,,,842911.591644,16.0,,842911.2539325,,,,
,blink,,,,,,,842911.8003674999,17.0,,842911.7171179999,,,,
,blink,,,,,,,842912.259452,18.0,,842912.0808935,,,,
,blink,,,,,,,842912.8788085,19.0,,842912.801133,,,,
,blink,,,,,,,842934.971118,20.0,,842934.8897995,,,,
,blink,,,,,,,842942.002053,21.0,,842941.986197,,,,
,blink,,,,,,,842942.253487,22.0,,842942.1429265,,,,
,blink,,,,,,,842944.5380045,23.0,,842944.5283745,,,,
,blink,,,,,,,842944.928419,24.0,,842944.8385389999,,,,
,blink,,,,,,,842945.3258710001,25.0,,842945.1484345,,,,
,blink,,,,,,,842946.532198,26.0,,842946.417842,,,,
,blink,,,,,,,842947.758046,27.0,,842947.552534,,,,
,blink,,,,,,,842948.30129,28.0,,842948.205796,,,,
,blink,,,,,,,842949.139597,29.0,,842949.06466,,,,
,blink,,,,,,,842949.3284054999,30.0,,842949.2501965,,,,
,blink,,,,,,,842949.5358235,31.0,,842949.422703,,,,
,blink,,,,,,,842949.7886405,32.0,,842949.6731209999,,,,
,blink,,,,,,,842950.541877,33.0,,842950.35645,,,,
,blink,,,,,,,842951.624554,34.0,,842951.316915,,,,
,blink,,,,,,,842953.636342,35.0,,842953.455385,,,,
,blink,,,,,,,842954.1809159999,36.0,,842954.088394,,,,
,blink,,,,,,,842955.7132915,37.0,,842955.5599225,,,,
,blink,,,,,,,842956.0401249999,38.0,,842955.8760309999,,,,
,blink,,,,,,,842956.841394,39.0,,842956.5686860001,,,,
,blink,,,,,,,842958.443957,40.0,,842958.2189559999,,,,
,blink,,,,,,,842958.800573,41.0,,842958.708429,,,,
,blink,,,,,,,842959.28957,42.0,,842959.1299145,,,,
,blink,,,,,,,842961.087118,43.0,,842960.752587,,,,
,blink,,,,,,,842962.482675,44.0,,842962.2413989999,,,,
,blink,,,,,,,842964.872337,45.0,,842962.658124,,,,
,blink,,,,,,,842967.613534,46.0,,842967.522593,,,,
,blink,,,,,,,842968.5728084999,47.0,,842968.435692,,,,
,blink,,,,,,,842969.315093,48.0,,842969.087851,,,,
,blink,,,,,,,842969.5436259999,49.0,,842969.446319,,,,
,blink,,,,,,,842972.097998,50.0,,842971.762272,,,,
,blink,,,,,,,842972.493597,51.0,,842972.435544,,,,
,blink,,,,,,,842972.9306365,52.0,,842972.861766,,,,
,blink,,,,,,,842973.1037995,53.0,,842973.014431,,,,
,blink,,,,,,,842974.510101,54.0,,842973.4887755,,,,
,blink,,,,,,,842975.466437,55.0,,842974.61974,,,,
,blink,,,,,,,842978.298551,56.0,,842978.011034,,,,
,blink,,,,,,,842979.347024,57.0,,842978.4791,,,,
,blink,,,,,,,842980.686095,58.0,,842979.500126,,,,
,blink,,,,,,,842981.293667,59.0,,842980.895774,,,,
,blink,,,,,,,842983.226843,60.0,,842981.4660809999,,,,
,blink,,,,,,,842984.707059,61.0,,842983.547568,,,,
,blink,,,,,,,842987.393213,62.0,,842985.360324,,,,
,blink,,,,,,,842988.089958,63.0,,842987.7910109999,,,,
,blink,,,,,,,842991.286901,64.0,,842990.741609,,,,
,blink,,,,,,,842992.799709,65.0,,842992.654849,,,,
,blink,,,,,,,842994.675089,66.0,,842993.436302,,,,
,blink,,,,,,,842995.774373,67.0,,842995.380869,,,,
,blink,,,,,,,842996.368762,68.0,,842996.1155589999,,,,
,blink,,,,,,,842997.1619599999,69.0,,842996.885027,,,,
,blink,,,,,,,842998.3959069999,70.0,,842998.260039,,,,
,blink,,,,,,,842999.037952,71.0,,842998.958069,,,,
,blink,,,,,,,842999.312122,72.0,,842999.182199,,,,
,blink,,,,,,,842999.692616,73.0,,842999.5192849999,,,,
,blink,,,,,,,843000.1804885,74.0,,843000.086275,,,,
,blink,,,,,,,843000.403313,75.0,,843000.307432,,,,
,blink,,,,,,,843000.604726,76.0,,843000.518263,,,,
,blink,,,,,,,843000.900734,77.0,,843000.855629,,,,
,blink,,,,,,,843001.188084,78.0,,843001.074025,,,,
,blink,,,,,,,843002.141997,79.0,,843002.039348,,,,
,blink,,,,,,,843002.831609,80.0,,843002.615774,,,,
,blink,,,,,,,843003.338125,81.0,,843003.134951,,,,
,blink,,,,,,,843003.879919,82.0,,843003.5655039999,,,,
,blink,,,,,,,843005.234649,83.0,,843004.912334,,,,
,blink,,,,,,,843005.723388,84.0,,843005.37443,,,,
,blink,,,,,,,843006.4036109999,85.0,,843006.086148,,,,
,blink,,,,,,,843006.999442,86.0,,843006.883075,,,,
,blink,,,,,,,843007.5056169999,87.0,,843007.348088,,,,
,blink,,,,,,,843008.881364,88.0,,843008.121878,,,,
,blink,,,,,,,843010.0988479999,89.0,,843009.926991,,,,
,blink,,,,,,,843010.839894,90.0,,843010.748087,,,,
,blink,,,,,,,843011.723635,91.0,,843011.511897,,,,
,blink,,,,,,,843012.2174409999,92.0,,843011.897324,,,,
,blink,,,,,,,843013.362151,93.0,,843013.315684,,,,
,blink,,,,,,,843013.906951,94.0,,843013.5794045,,,,
,blink,,,,,,,843014.75358,95.0,,843014.4911364999,,,,
,blink,,,,,,,843015.151738,96.0,,843014.964604,,,,
,blink,,,,,,,843015.822724,97.0,,843015.589896,,,,
,blink,,,,,,,843016.1509415,98.0,,843016.092989,,,,
,blink,,,,,,,843017.037375,99.0,,843016.547273,,,,
,blink,,,,,,,843018.140394,100.0,,843017.204275,,,,
,blink,,,,,,,843019.894004,101.0,,843018.714948,,,,
